Provinsi Asal,Kasus,Sembuh,Meninggal,Rasio Kematian,scrap_date
DKI Jakarta,3032,234,287,9.5%,2020-04-19 15:35:44.931738
Jawa Barat,696,45,59,8.5%,2020-04-19 15:35:44.931738
Jawa Timur,590,98,54,9.2%,2020-04-19 15:35:44.931738
Jawa Tengah,349,51,44,12.6%,2020-04-19 15:35:44.931738
Banten,324,9,34,10.5%,2020-04-19 15:35:44.931738
Sulawesi Selatan,370,43,25,6.8%,2020-04-19 15:35:44.931738
Sumatera Utara,81,12,9,11.1%,2020-04-19 15:35:44.931738
DI Yogyakarta,67,27,7,10.4%,2020-04-19 15:35:44.931738
Kepulauan Riau,79,6,7,8.9%,2020-04-19 15:35:44.931738
Sumatera Barat,72,13,7,9.7%,2020-04-19 15:35:44.931738
Kalimantan Selatan,96,6,6,6.3%,2020-04-19 15:35:44.931738
Papua,107,18,6,5.6%,2020-04-19 15:35:44.931738
Lampung,26,10,5,19.2%,2020-04-19 15:35:44.931738
Riau,30,9,4,13.3%,2020-04-19 15:35:44.931738
Bali,135,38,3,2.2%,2020-04-19 15:35:44.931738
Kalimantan Barat,21,6,3,14.3%,2020-04-19 15:35:44.931738
Nusa Tenggara Barat,61,11,3,4.9%,2020-04-19 15:35:44.931738
Sulawesi Tengah,27,2,3,11.1%,2020-04-19 15:35:44.931738
Sumatera Selatan,89,5,3,3.4%,2020-04-19 15:35:44.931738
Kalimantan Tengah,46,8,2,4.3%,2020-04-19 15:35:44.931738
Sulawesi Tenggara,37,4,2,5.4%,2020-04-19 15:35:44.931738
Sulawesi Utara,20,5,2,10.0%,2020-04-19 15:35:44.931738
Aceh,7,4,1,14.3%,2020-04-19 15:35:44.931738
Bangka Belitung,7,0,1,14.3%,2020-04-19 15:35:44.931738
Bengkulu,4,0,1,25.0%,2020-04-19 15:35:44.931738
Kalimantan Timur,59,11,1,1.7%,2020-04-19 15:35:44.931738
Kalimantan Utara,69,2,1,1.4%,2020-04-19 15:35:44.931738
Papua Barat,7,0,1,14.3%,2020-04-19 15:35:44.931738
Sulawesi Barat,7,1,1,14.3%,2020-04-19 15:35:44.931738
Dalam Investigasi,26,0,0,0.0%,2020-04-19 15:35:44.931738
Gorontalo,4,0,0,0.0%,2020-04-19 15:35:44.931738
Jambi,8,0,0,0.0%,2020-04-19 15:35:44.931738
Maluku,17,6,0,0.0%,2020-04-19 15:35:44.931738
Maluku Utara,4,2,0,0.0%,2020-04-19 15:35:44.931738
Nusa Tenggara Timur,1,0,0,0.0%,2020-04-19 15:35:44.931738
