Provinsi Asal,Kasus,Sembuh,Meninggal,Rasio Kematian,scrap_date
DKI Jakarta,5774,1276,460,8.0%,2020-05-15 19:00:36.473562
Jawa Timur,1921,294,178,9.3%,2020-05-15 19:00:36.473562
Jawa Barat,1596,259,100,6.3%,2020-05-15 19:00:36.473562
Jawa Tengah,1109,234,70,6.3%,2020-05-15 19:00:36.473562
Sulawesi Selatan,871,293,51,5.9%,2020-05-15 19:00:36.473562
Banten,622,158,60,9.6%,2020-05-15 19:00:36.473562
Sumatera Selatan,458,73,9,2.0%,2020-05-15 19:00:36.473562
Sumatera Barat,393,88,21,5.3%,2020-05-15 19:00:36.473562
Kalimantan Selatan,363,24,9,2.5%,2020-05-15 19:00:36.473562
Nusa Tenggara Barat,358,188,7,2.0%,2020-05-15 19:00:36.473562
Bali,343,232,4,1.2%,2020-05-15 19:00:36.473562
Papua,335,48,6,1.8%,2020-05-15 19:00:36.473562
Kalimantan Timur,251,61,3,1.2%,2020-05-15 19:00:36.473562
Kalimantan Tengah,227,87,11,4.8%,2020-05-15 19:00:36.473562
Sumatera Utara,202,53,24,11.9%,2020-05-15 19:00:36.473562
DI Yogyakarta,188,71,7,3.7%,2020-05-15 19:00:36.473562
Sulawesi Tenggara,183,24,5,2.7%,2020-05-15 19:00:36.473562
Kalimantan Utara,141,23,1,0.7%,2020-05-15 19:00:36.473562
Kalimantan Barat,129,22,3,2.3%,2020-05-15 19:00:36.473562
Kepulauan Riau,115,77,11,9.6%,2020-05-15 19:00:36.473562
Sulawesi Tengah,112,21,4,3.6%,2020-05-15 19:00:36.473562
Sulawesi Utara,105,30,5,4.8%,2020-05-15 19:00:36.473562
Riau,95,53,6,6.3%,2020-05-15 19:00:36.473562
Papua Barat,88,2,1,1.1%,2020-05-15 19:00:36.473562
Maluku Utara,85,12,3,3.5%,2020-05-15 19:00:36.473562
Sulawesi Barat,74,22,2,2.7%,2020-05-15 19:00:36.473562
Jambi,69,3,0,0.0%,2020-05-15 19:00:36.473562
Lampung,66,22,5,7.6%,2020-05-15 19:00:36.473562
Maluku,62,17,4,6.5%,2020-05-15 19:00:36.473562
Bengkulu,53,1,2,3.8%,2020-05-15 19:00:36.473562
Bangka Belitung,29,7,1,3.4%,2020-05-15 19:00:36.473562
Gorontalo,22,14,1,4.5%,2020-05-15 19:00:36.473562
Dalam Investigasi,21,0,0,0.0%,2020-05-15 19:00:36.473562
Nusa Tenggara Timur,19,1,1,5.3%,2020-05-15 19:00:36.473562
Aceh,17,13,1,5.9%,2020-05-15 19:00:36.473562
