Provinsi Asal,Kasus,Sembuh,Meninggal,Rasio Kematian,scrap_date
DKI Jakarta,4175,486,371,8.9%,2020-05-09 19:00:17.051593
Jawa Barat,1012,143,83,8.2%,2020-05-09 19:00:17.051593
Jawa Timur,958,157,96,10.0%,2020-05-09 19:00:17.051593
Jawa Tengah,724,102,59,8.1%,2020-05-09 19:00:17.051593
Sulawesi Selatan,491,122,37,7.5%,2020-05-09 19:00:17.051593
Banten,404,34,41,10.1%,2020-05-09 19:00:17.051593
Nusa Tenggara Barat,230,31,4,1.7%,2020-05-09 19:00:17.051593
Bali,222,113,4,1.8%,2020-05-09 19:00:17.051593
Papua,205,47,6,2.9%,2020-05-09 19:00:17.051593
Kalimantan Selatan,170,20,9,5.3%,2020-05-09 19:00:17.051593
Sumatera Selatan,150,23,3,2.0%,2020-05-09 19:00:17.051593
Sumatera Barat,148,25,15,10.1%,2020-05-09 19:00:17.051593
Kalimantan Tengah,145,11,6,4.1%,2020-05-09 19:00:17.051593
Kalimantan Timur,134,12,1,0.7%,2020-05-09 19:00:17.051593
Sumatera Utara,117,41,13,11.1%,2020-05-09 19:00:17.051593
Kalimantan Utara,100,4,1,1.0%,2020-05-09 19:00:17.051593
DI Yogyakarta,95,43,7,7.4%,2020-05-09 19:00:17.051593
Kepulauan Riau,89,11,9,10.1%,2020-05-09 19:00:17.051593
Sulawesi Tenggara,62,10,2,3.2%,2020-05-09 19:00:17.051593
Kalimantan Barat,58,7,3,5.2%,2020-05-09 19:00:17.051593
Sulawesi Tengah,47,8,3,6.4%,2020-05-09 19:00:17.051593
Lampung,46,13,5,10.9%,2020-05-09 19:00:17.051593
Sulawesi Utara,45,14,4,8.9%,2020-05-09 19:00:17.051593
Sulawesi Barat,42,3,1,2.4%,2020-05-09 19:00:17.051593
Riau,41,16,4,9.8%,2020-05-09 19:00:17.051593
Maluku Utara,40,3,0,0.0%,2020-05-09 19:00:17.051593
Papua Barat,37,0,1,2.7%,2020-05-09 19:00:17.051593
Jambi,32,1,0,0.0%,2020-05-09 19:00:17.051593
Dalam Investigasi,26,0,0,0.0%,2020-05-09 19:00:17.051593
Maluku,23,12,0,0.0%,2020-05-09 19:00:17.051593
Gorontalo,15,2,1,6.7%,2020-05-09 19:00:17.051593
Bengkulu,12,1,1,8.3%,2020-05-09 19:00:17.051593
Aceh,10,4,1,10.0%,2020-05-09 19:00:17.051593
Bangka Belitung,10,2,1,10.0%,2020-05-09 19:00:17.051593
Nusa Tenggara Timur,3,1,0,0.0%,2020-05-09 19:00:17.051593
