Provinsi Asal,Kasus,Sembuh,Meninggal,Rasio Kematian,scrap_date
DKI Jakarta,6400,1510,500,7.8%,2020-05-22 19:00:39.934569
Jawa Timur,3129,413,256,8.2%,2020-05-22 19:00:39.934569
Jawa Barat,2002,432,125,6.2%,2020-05-22 19:00:39.934569
Jawa Tengah,1234,255,70,5.7%,2020-05-22 19:00:39.934569
Sulawesi Selatan,1206,417,61,5.1%,2020-05-22 19:00:39.934569
Banten,768,172,66,8.6%,2020-05-22 19:00:39.934569
Sumatera Selatan,693,95,22,3.2%,2020-05-22 19:00:39.934569
Kalimantan Selatan,572,77,57,10.0%,2020-05-22 19:00:39.934569
Nusa Tenggara Barat,464,220,7,1.5%,2020-05-22 19:00:39.934569
Sumatera Barat,438,157,23,5.3%,2020-05-22 19:00:39.934569
Papua,437,48,6,1.4%,2020-05-22 19:00:39.934569
Bali,380,284,4,1.1%,2020-05-22 19:00:39.934569
Kalimantan Tengah,290,130,15,5.2%,2020-05-22 19:00:39.934569
Sumatera Utara,285,102,32,11.2%,2020-05-22 19:00:39.934569
Kalimantan Timur,271,102,3,1.1%,2020-05-22 19:00:39.934569
DI Yogyakarta,220,117,8,3.6%,2020-05-22 19:00:39.934569
Sulawesi Tenggara,211,30,4,1.9%,2020-05-22 19:00:39.934569
Sulawesi Utara,198,31,12,6.1%,2020-05-22 19:00:39.934569
Kalimantan Utara,163,57,1,0.6%,2020-05-22 19:00:39.934569
Maluku,157,22,7,4.5%,2020-05-22 19:00:39.934569
Kepulauan Riau,141,83,12,8.5%,2020-05-22 19:00:39.934569
Kalimantan Barat,140,38,4,2.9%,2020-05-22 19:00:39.934569
Papua Barat,119,11,1,0.8%,2020-05-22 19:00:39.934569
Sulawesi Tengah,117,37,4,3.4%,2020-05-22 19:00:39.934569
Riau,109,66,6,5.5%,2020-05-22 19:00:39.934569
Lampung,105,34,7,6.7%,2020-05-22 19:00:39.934569
Maluku Utara,99,12,4,4.0%,2020-05-22 19:00:39.934569
Jambi,91,8,0,0.0%,2020-05-22 19:00:39.934569
Sulawesi Barat,86,26,2,2.3%,2020-05-22 19:00:39.934569
Nusa Tenggara Timur,79,6,1,1.3%,2020-05-22 19:00:39.934569
Bengkulu,69,9,2,2.9%,2020-05-22 19:00:39.934569
Gorontalo,47,15,2,4.3%,2020-05-22 19:00:39.934569
Bangka Belitung,36,26,1,2.8%,2020-05-22 19:00:39.934569
Dalam Investigasi,21,0,0,0.0%,2020-05-22 19:00:39.934569
Aceh,19,15,1,5.3%,2020-05-22 19:00:39.934569
