Provinsi Asal,Kasus,Sembuh,Meninggal,Rasio Kematian,scrap_date
DKI Jakarta,6301,1458,481,7.6%,2020-05-21 19:00:43.868626
Jawa Timur,2998,403,241,8.0%,2020-05-21 19:00:43.868626
Jawa Barat,1962,422,124,6.3%,2020-05-21 19:00:43.868626
Jawa Tengah,1217,255,70,5.8%,2020-05-21 19:00:43.868626
Sulawesi Selatan,1135,398,59,5.2%,2020-05-21 19:00:43.868626
Banten,753,171,65,8.6%,2020-05-21 19:00:43.868626
Sumatera Selatan,674,78,21,3.1%,2020-05-21 19:00:43.868626
Kalimantan Selatan,557,76,54,9.7%,2020-05-21 19:00:43.868626
Sumatera Barat,436,152,23,5.3%,2020-05-21 19:00:43.868626
Nusa Tenggara Barat,410,217,7,1.7%,2020-05-21 19:00:43.868626
Papua,410,48,6,1.5%,2020-05-21 19:00:43.868626
Bali,374,280,4,1.1%,2020-05-21 19:00:43.868626
Sumatera Utara,273,74,31,11.4%,2020-05-21 19:00:43.868626
Kalimantan Timur,266,96,3,1.1%,2020-05-21 19:00:43.868626
Kalimantan Tengah,254,115,11,4.3%,2020-05-21 19:00:43.868626
DI Yogyakarta,215,105,8,3.7%,2020-05-21 19:00:43.868626
Sulawesi Tenggara,202,25,5,2.5%,2020-05-21 19:00:43.868626
Sulawesi Utara,180,31,11,6.1%,2020-05-21 19:00:43.868626
Kalimantan Utara,162,51,1,0.6%,2020-05-21 19:00:43.868626
Kepulauan Riau,140,83,12,8.6%,2020-05-21 19:00:43.868626
Maluku,135,22,7,5.2%,2020-05-21 19:00:43.868626
Kalimantan Barat,133,36,4,3.0%,2020-05-21 19:00:43.868626
Sulawesi Tengah,117,37,4,3.4%,2020-05-21 19:00:43.868626
Papua Barat,110,7,1,0.9%,2020-05-21 19:00:43.868626
Riau,108,63,6,5.6%,2020-05-21 19:00:43.868626
Lampung,101,31,6,5.9%,2020-05-21 19:00:43.868626
Maluku Utara,97,12,4,4.1%,2020-05-21 19:00:43.868626
Jambi,89,4,0,0.0%,2020-05-21 19:00:43.868626
Sulawesi Barat,86,25,2,2.3%,2020-05-21 19:00:43.868626
Nusa Tenggara Timur,79,6,1,1.3%,2020-05-21 19:00:43.868626
Bengkulu,69,3,2,2.9%,2020-05-21 19:00:43.868626
Gorontalo,44,15,2,4.5%,2020-05-21 19:00:43.868626
Bangka Belitung,36,24,1,2.8%,2020-05-21 19:00:43.868626
Dalam Investigasi,21,0,0,0.0%,2020-05-21 19:00:43.868626
Aceh,18,15,1,5.6%,2020-05-21 19:00:43.868626
