Provinsi Asal,Kasus,Sembuh,Meninggal,Rasio Kematian,scrap_date
DKI Jakarta,5688,1162,452,7.9%,2020-05-14 19:00:22.892006
Jawa Timur,1863,278,167,9.0%,2020-05-14 19:00:22.892006
Jawa Barat,1565,242,99,6.3%,2020-05-14 19:00:22.892006
Jawa Tengah,1066,229,66,6.2%,2020-05-14 19:00:22.892006
Sulawesi Selatan,840,293,51,6.1%,2020-05-14 19:00:22.892006
Banten,593,158,57,9.6%,2020-05-14 19:00:22.892006
Sumatera Selatan,441,73,9,2.0%,2020-05-14 19:00:22.892006
Sumatera Barat,371,86,21,5.7%,2020-05-14 19:00:22.892006
Nusa Tenggara Barat,350,138,7,2.0%,2020-05-14 19:00:22.892006
Bali,337,223,4,1.2%,2020-05-14 19:00:22.892006
Papua,332,48,6,1.8%,2020-05-14 19:00:22.892006
Kalimantan Selatan,294,24,9,3.1%,2020-05-14 19:00:22.892006
Kalimantan Timur,238,57,3,1.3%,2020-05-14 19:00:22.892006
Kalimantan Tengah,223,40,7,3.1%,2020-05-14 19:00:22.892006
Sumatera Utara,202,53,24,11.9%,2020-05-14 19:00:22.892006
DI Yogyakarta,185,68,7,3.8%,2020-05-14 19:00:22.892006
Sulawesi Tenggara,166,17,3,1.8%,2020-05-14 19:00:22.892006
Kalimantan Utara,138,20,1,0.7%,2020-05-14 19:00:22.892006
Kalimantan Barat,129,22,3,2.3%,2020-05-14 19:00:22.892006
Kepulauan Riau,111,77,11,9.9%,2020-05-14 19:00:22.892006
Sulawesi Tengah,111,21,4,3.6%,2020-05-14 19:00:22.892006
Riau,94,49,6,6.4%,2020-05-14 19:00:22.892006
Papua Barat,88,2,1,1.1%,2020-05-14 19:00:22.892006
Sulawesi Utara,83,30,5,6.0%,2020-05-14 19:00:22.892006
Maluku Utara,81,11,3,3.7%,2020-05-14 19:00:22.892006
Sulawesi Barat,74,20,2,2.7%,2020-05-14 19:00:22.892006
Jambi,66,3,0,0.0%,2020-05-14 19:00:22.892006
Lampung,66,22,5,7.6%,2020-05-14 19:00:22.892006
Maluku,62,17,4,6.5%,2020-05-14 19:00:22.892006
Bengkulu,42,1,2,4.8%,2020-05-14 19:00:22.892006
Bangka Belitung,29,7,1,3.4%,2020-05-14 19:00:22.892006
Dalam Investigasi,21,0,0,0.0%,2020-05-14 19:00:22.892006
Gorontalo,21,13,1,4.8%,2020-05-14 19:00:22.892006
Nusa Tenggara Timur,19,1,1,5.3%,2020-05-14 19:00:22.892006
Aceh,17,13,1,5.9%,2020-05-14 19:00:22.892006
