Provinsi Asal,Kasus,Sembuh,Meninggal,Rasio Kematian,scrap_date
DKI Jakarta,6155,1329,470,7.6%,2020-05-20 19:00:22.254156
Jawa Timur,2377,375,222,9.3%,2020-05-20 19:00:22.254156
Jawa Barat,1700,411,124,7.3%,2020-05-20 19:00:22.254156
Jawa Tengah,1175,252,70,6.0%,2020-05-20 19:00:22.254156
Sulawesi Selatan,1064,358,55,5.2%,2020-05-20 19:00:22.254156
Banten,698,162,62,8.9%,2020-05-20 19:00:22.254156
Sumatera Selatan,597,77,18,3.0%,2020-05-20 19:00:22.254156
Kalimantan Selatan,484,73,47,9.7%,2020-05-20 19:00:22.254156
Sumatera Barat,420,117,22,5.2%,2020-05-20 19:00:22.254156
Papua,389,48,6,1.5%,2020-05-20 19:00:22.254156
Nusa Tenggara Barat,375,213,7,1.9%,2020-05-20 19:00:22.254156
Bali,363,267,4,1.1%,2020-05-20 19:00:22.254156
Kalimantan Timur,258,81,3,1.2%,2020-05-20 19:00:22.254156
Sumatera Utara,235,58,28,11.9%,2020-05-20 19:00:22.254156
Kalimantan Tengah,232,87,11,4.7%,2020-05-20 19:00:22.254156
DI Yogyakarta,207,95,8,3.9%,2020-05-20 19:00:22.254156
Sulawesi Tenggara,202,25,5,2.5%,2020-05-20 19:00:22.254156
Kalimantan Utara,160,51,1,0.6%,2020-05-20 19:00:22.254156
Kepulauan Riau,140,83,11,7.9%,2020-05-20 19:00:22.254156
Kalimantan Barat,132,32,4,3.0%,2020-05-20 19:00:22.254156
Sulawesi Utara,126,31,7,5.6%,2020-05-20 19:00:22.254156
Sulawesi Tengah,115,26,4,3.5%,2020-05-20 19:00:22.254156
Maluku,107,21,6,5.6%,2020-05-20 19:00:22.254156
Riau,106,62,6,5.7%,2020-05-20 19:00:22.254156
Papua Barat,105,5,1,1.0%,2020-05-20 19:00:22.254156
Maluku Utara,95,12,4,4.2%,2020-05-20 19:00:22.254156
Jambi,84,4,0,0.0%,2020-05-20 19:00:22.254156
Lampung,84,26,6,7.1%,2020-05-20 19:00:22.254156
Sulawesi Barat,77,25,2,2.6%,2020-05-20 19:00:22.254156
Nusa Tenggara Timur,71,6,1,1.4%,2020-05-20 19:00:22.254156
Bengkulu,67,1,2,3.0%,2020-05-20 19:00:22.254156
Bangka Belitung,29,24,1,3.4%,2020-05-20 19:00:22.254156
Gorontalo,28,15,2,7.1%,2020-05-20 19:00:22.254156
Dalam Investigasi,21,0,0,0.0%,2020-05-20 19:00:22.254156
Aceh,18,15,1,5.6%,2020-05-20 19:00:22.254156
