Provinsi Asal,Kasus,Sembuh,Meninggal,Rasio Kematian,scrap_date
DKI Jakarta,3032,234,287,9.5%,2020-04-19 15:36:50.662413
Jawa Barat,696,45,59,8.5%,2020-04-19 15:36:50.662413
Jawa Timur,590,98,54,9.2%,2020-04-19 15:36:50.662413
Jawa Tengah,349,51,44,12.6%,2020-04-19 15:36:50.662413
Banten,324,9,34,10.5%,2020-04-19 15:36:50.662413
Sulawesi Selatan,370,43,25,6.8%,2020-04-19 15:36:50.662413
Sumatera Utara,81,12,9,11.1%,2020-04-19 15:36:50.662413
DI Yogyakarta,67,27,7,10.4%,2020-04-19 15:36:50.662413
Kepulauan Riau,79,6,7,8.9%,2020-04-19 15:36:50.662413
Sumatera Barat,72,13,7,9.7%,2020-04-19 15:36:50.662413
Kalimantan Selatan,96,6,6,6.3%,2020-04-19 15:36:50.662413
Papua,107,18,6,5.6%,2020-04-19 15:36:50.662413
Lampung,26,10,5,19.2%,2020-04-19 15:36:50.662413
Riau,30,9,4,13.3%,2020-04-19 15:36:50.662413
Bali,135,38,3,2.2%,2020-04-19 15:36:50.662413
Kalimantan Barat,21,6,3,14.3%,2020-04-19 15:36:50.662413
Nusa Tenggara Barat,61,11,3,4.9%,2020-04-19 15:36:50.662413
Sulawesi Tengah,27,2,3,11.1%,2020-04-19 15:36:50.662413
Sumatera Selatan,89,5,3,3.4%,2020-04-19 15:36:50.662413
Kalimantan Tengah,46,8,2,4.3%,2020-04-19 15:36:50.662413
Sulawesi Tenggara,37,4,2,5.4%,2020-04-19 15:36:50.662413
Sulawesi Utara,20,5,2,10.0%,2020-04-19 15:36:50.662413
Aceh,7,4,1,14.3%,2020-04-19 15:36:50.662413
Bangka Belitung,7,0,1,14.3%,2020-04-19 15:36:50.662413
Bengkulu,4,0,1,25.0%,2020-04-19 15:36:50.662413
Kalimantan Timur,59,11,1,1.7%,2020-04-19 15:36:50.662413
Kalimantan Utara,69,2,1,1.4%,2020-04-19 15:36:50.662413
Papua Barat,7,0,1,14.3%,2020-04-19 15:36:50.662413
Sulawesi Barat,7,1,1,14.3%,2020-04-19 15:36:50.662413
Dalam Investigasi,26,0,0,0.0%,2020-04-19 15:36:50.662413
Gorontalo,4,0,0,0.0%,2020-04-19 15:36:50.662413
Jambi,8,0,0,0.0%,2020-04-19 15:36:50.662413
Maluku,17,6,0,0.0%,2020-04-19 15:36:50.662413
Maluku Utara,4,2,0,0.0%,2020-04-19 15:36:50.662413
Nusa Tenggara Timur,1,0,0,0.0%,2020-04-19 15:36:50.662413
