Provinsi Asal,Kasus,Sembuh,Meninggal,Rasio Kematian,scrap_date
DKI Jakarta,5375,924,443,8.2%,2020-05-12 19:00:20.101797
Jawa Timur,1669,258,155,9.3%,2020-05-12 19:00:20.101797
Jawa Barat,1545,213,98,6.3%,2020-05-12 19:00:20.101797
Jawa Tengah,989,229,66,6.7%,2020-05-12 19:00:20.101797
Sulawesi Selatan,747,283,49,6.6%,2020-05-12 19:00:20.101797
Banten,559,153,56,10.0%,2020-05-12 19:00:20.101797
Nusa Tenggara Barat,339,105,6,1.8%,2020-05-12 19:00:20.101797
Bali,328,215,4,1.2%,2020-05-12 19:00:20.101797
Papua,322,48,6,1.9%,2020-05-12 19:00:20.101797
Sumatera Barat,319,70,18,5.6%,2020-05-12 19:00:20.101797
Sumatera Selatan,279,64,9,3.2%,2020-05-12 19:00:20.101797
Kalimantan Selatan,277,24,9,3.2%,2020-05-12 19:00:20.101797
Kalimantan Timur,228,41,3,1.3%,2020-05-12 19:00:20.101797
Kalimantan Tengah,204,30,7,3.4%,2020-05-12 19:00:20.101797
Sumatera Utara,198,48,24,12.1%,2020-05-12 19:00:20.101797
DI Yogyakarta,169,63,7,4.1%,2020-05-12 19:00:20.101797
Kalimantan Utara,132,7,1,0.8%,2020-05-12 19:00:20.101797
Kalimantan Barat,123,20,3,2.4%,2020-05-12 19:00:20.101797
Kepulauan Riau,106,72,11,10.4%,2020-05-12 19:00:20.101797
Sulawesi Tengah,95,13,3,3.2%,2020-05-12 19:00:20.101797
Riau,81,49,6,7.4%,2020-05-12 19:00:20.101797
Sulawesi Tenggara,76,16,2,2.6%,2020-05-12 19:00:20.101797
Sulawesi Utara,74,26,5,6.8%,2020-05-12 19:00:20.101797
Papua Barat,70,2,1,1.4%,2020-05-12 19:00:20.101797
Sulawesi Barat,68,7,2,2.9%,2020-05-12 19:00:20.101797
Lampung,66,22,5,7.6%,2020-05-12 19:00:20.101797
Jambi,65,3,0,0.0%,2020-05-12 19:00:20.101797
Maluku Utara,54,8,0,0.0%,2020-05-12 19:00:20.101797
Maluku,50,17,4,8.0%,2020-05-12 19:00:20.101797
Bengkulu,40,1,1,2.5%,2020-05-12 19:00:20.101797
Bangka Belitung,29,7,1,3.4%,2020-05-12 19:00:20.101797
Dalam Investigasi,21,0,0,0.0%,2020-05-12 19:00:20.101797
Gorontalo,19,12,1,5.3%,2020-05-12 19:00:20.101797
Aceh,17,12,1,5.9%,2020-05-12 19:00:20.101797
Nusa Tenggara Timur,16,1,0,0.0%,2020-05-12 19:00:20.101797
