Provinsi Asal,Kasus,Sembuh,Meninggal,Rasio Kematian,scrap_date
DKI Jakarta,6059,1307,463,7.6%,2020-05-18 19:03:13.771932
Jawa Timur,2296,337,209,9.1%,2020-05-18 19:03:13.771932
Jawa Barat,1677,397,123,7.3%,2020-05-18 19:03:13.771932
Jawa Tengah,1165,252,70,6.0%,2020-05-18 19:03:13.771932
Sulawesi Selatan,1017,337,55,5.4%,2020-05-18 19:03:13.771932
Banten,677,162,62,9.2%,2020-05-18 19:03:13.771932
Sumatera Selatan,537,73,13,2.4%,2020-05-18 19:03:13.771932
Kalimantan Selatan,438,73,44,10.0%,2020-05-18 19:03:13.771932
Sumatera Barat,409,107,22,5.4%,2020-05-18 19:03:13.771932
Papua,383,48,6,1.6%,2020-05-18 19:03:13.771932
Nusa Tenggara Barat,375,213,7,1.9%,2020-05-18 19:03:13.771932
Bali,359,257,4,1.1%,2020-05-18 19:03:13.771932
Kalimantan Timur,255,76,3,1.2%,2020-05-18 19:03:13.771932
Kalimantan Tengah,227,87,11,4.8%,2020-05-18 19:03:13.771932
Sumatera Utara,225,58,27,12.0%,2020-05-18 19:03:13.771932
DI Yogyakarta,200,90,8,4.0%,2020-05-18 19:03:13.771932
Sulawesi Tenggara,191,24,5,2.6%,2020-05-18 19:03:13.771932
Kalimantan Utara,155,41,1,0.6%,2020-05-18 19:03:13.771932
Kalimantan Barat,132,32,4,3.0%,2020-05-18 19:03:13.771932
Kepulauan Riau,127,83,11,8.7%,2020-05-18 19:03:13.771932
Sulawesi Utara,116,31,7,6.0%,2020-05-18 19:03:13.771932
Sulawesi Tengah,115,26,4,3.5%,2020-05-18 19:03:13.771932
Maluku,107,21,6,5.6%,2020-05-18 19:03:13.771932
Papua Barat,105,5,1,1.0%,2020-05-18 19:03:13.771932
Riau,101,61,6,5.9%,2020-05-18 19:03:13.771932
Maluku Utara,93,12,4,4.3%,2020-05-18 19:03:13.771932
Lampung,83,26,6,7.2%,2020-05-18 19:03:13.771932
Jambi,81,4,0,0.0%,2020-05-18 19:03:13.771932
Sulawesi Barat,75,23,2,2.7%,2020-05-18 19:03:13.771932
Nusa Tenggara Timur,68,6,1,1.5%,2020-05-18 19:03:13.771932
Bengkulu,66,1,2,3.0%,2020-05-18 19:03:13.771932
Bangka Belitung,29,24,1,3.4%,2020-05-18 19:03:13.771932
Gorontalo,28,15,2,7.1%,2020-05-18 19:03:13.771932
Dalam Investigasi,21,0,0,0.0%,2020-05-18 19:03:13.771932
Aceh,18,15,1,5.6%,2020-05-18 19:03:13.771932
